Hours_Studied,Previous_Score,Attendance_Rate,Final_Exam_Score,Passed_Course
24,11,98,20.0,1
19,18,11,20.0,1
22,13,57,20.0,1
7,9,11,13.362248167923362,1
8,10,54,15.088783154466098,1
28,10,16,20.0,1
22,14,19,20.0,1
20,10,46,20.0,1
16,8,2,18.3447461013177,1
16,9,58,19.381362017485124,1
29,9,74,20.0,1
18,17,33,20.0,1
11,17,70,18.956532018449263,1
15,9,100,19.784081862869396,1
13,17,98,20.0,1
13,13,97,19.51941755360468,1
20,12,49,20.0,1
16,16,38,20.0,1
12,15,45,18.48180603977823,1
24,12,63,20.0,1
30,16,40,20.0,1
8,11,97,16.759274499002572,1
27,15,57,20.0,1
20,12,70,20.0,1
16,17,99,20.0,1
30,16,26,20.0,1
15,13,3,19.166584495004038,1
9,16,15,16.145159557677403,1
19,9,79,20.0,1
16,11,78,20.0,1
21,10,11,20.0,1
27,10,8,20.0,1
14,14,3,17.916619118508244,1
12,15,65,18.62090456800737,1
5,15,4,14.015749562970608,1
20,16,27,20.0,1
10,8,16,16.14507875104715,1
12,14,97,19.97383352830797,1
16,11,81,20.0,1
11,9,31,16.21838305586204,1
6,14,74,15.492338988281572,1
14,17,80,20.0,1
30,13,82,20.0,1
21,9,4,20.0,1
14,18,55,19.98838086734853,1
7,18,69,16.565989120013565,1
17,18,15,20.0,1
28,15,56,20.0,1
27,13,84,20.0,1
22,8,62,20.0,1
12,12,70,18.369126900649285,1
11,10,7,16.0535910223881,1
22,11,10,20.0,1
7,13,96,16.634410170518066,1
21,12,4,20.0,1
21,11,64,20.0,1
17,10,22,19.742265736796107,1
21,14,44,20.0,1
22,12,68,20.0,1
23,17,93,20.0,1
8,13,39,15.792928122889082,1
25,16,97,20.0,1
14,13,23,18.315408132897467,1
9,8,18,15.629201951450085,1
5,14,88,14.58063673338281,1
10,10,38,16.14774492358392,1
28,12,40,20.0,1
17,14,32,20.0,1
27,10,70,20.0,1
16,15,96,20.0,1
15,12,45,19.612463926353243,1
16,8,30,19.901097086425985,1
28,13,80,20.0,1
13,10,28,17.832456193379162,1
20,9,72,20.0,1
9,14,89,17.21570690765593,1
24,14,49,20.0,1
19,15,99,20.0,1
20,13,23,20.0,1
9,16,13,16.19842538011193,1
13,13,43,17.898910466202047,1
6,18,1,14.026945076041207,1
5,18,5,13.090853064997123,1
30,17,82,20.0,1
20,14,81,20.0,1
13,8,43,18.11872631587613,1
8,11,14,15.118867220534913,1
6,17,99,15.54772634238089,1
17,10,36,20.0,1
18,13,33,20.0,1
9,18,95,17.990657347140264,1
15,10,74,19.662318582813906,1
30,15,17,20.0,1
16,12,23,20.0,1
11,17,92,18.731687003645767,1
18,17,93,20.0,1
17,17,52,20.0,1
13,11,78,18.464364942940314,1
27,13,99,20.0,1
18,12,42,20.0,1
21,14,44,20.0,1
11,12,96,18.508364499897024,1
28,8,74,20.0,1
14,14,36,19.789308238266344,1
11,10,68,17.53609795823953,1
19,18,79,20.0,1
19,8,8,20.0,1
27,17,47,20.0,1
30,10,97,20.0,1
11,15,57,17.522107890076153,1
30,17,54,20.0,1
14,17,33,19.872688999897047,1
17,14,37,20.0,1
14,8,34,17.709032095586263,1
6,10,62,14.394845347439366,1
12,12,94,18.52682950432021,1
18,14,1,20.0,1
13,16,73,20.0,1
17,15,89,20.0,1
8,12,83,15.742865546671162,1
14,18,27,19.719609698964586,1
27,17,55,20.0,1
10,12,2,15.866131036036984,1
25,11,73,20.0,1
5,9,10,12.352564623823412,1
25,8,70,20.0,1
19,15,67,20.0,1
18,15,77,20.0,1
12,18,65,18.876297958667845,1
19,15,36,20.0,1
7,9,71,14.570140681483835,1
22,14,73,20.0,1
12,9,68,18.65723914254523,1
12,17,49,18.115967903612546,1
18,10,25,20.0,1
26,9,56,20.0,1
9,9,16,14.801225619416263,1
9,14,87,17.115383024874,1
21,17,45,20.0,1
6,16,75,15.94260598805393,1
21,18,27,20.0,1
22,13,14,20.0,1
10,11,87,16.781210810988117,1
21,17,37,20.0,1
20,17,83,20.0,1
17,10,30,19.881961307201784,1
17,15,69,20.0,1
26,13,50,20.0,1
9,16,72,17.15886601896494,1
26,11,0,20.0,1
9,10,4,14.2382722982815,1
11,10,13,15.88902769513767,1
15,10,70,20.0,1
11,10,86,17.600719328828074,1
12,16,66,18.494979974980314,1
29,11,41,20.0,1
12,8,62,18.109279698345148,1
26,10,76,20.0,1
5,18,19,13.43724391757274,1
25,15,74,20.0,1
23,14,27,20.0,1
18,12,91,20.0,1
22,18,30,20.0,1
7,16,28,14.693963686507498,1
27,9,65,20.0,1
17,11,5,19.502413183540078,1
30,15,67,20.0,1
28,17,31,20.0,1
16,18,77,20.0,1
15,14,56,20.0,1
22,8,10,20.0,1
7,12,68,15.707723049879636,1
24,15,25,20.0,1
26,8,37,20.0,1
24,14,55,20.0,1
5,9,48,13.142807843067592,1
16,11,9,19.584037654265657,1
20,9,38,20.0,1
8,17,17,15.693841121411232,1
20,9,14,20.0,1
30,11,79,20.0,1
23,15,80,20.0,1
17,13,47,20.0,1
9,13,13,16.28444709968225,1
27,18,27,20.0,1
10,12,3,15.712273359569343,1
13,12,89,19.083266175905138,1
9,15,42,17.058775243740776,1
27,10,62,20.0,1
17,16,13,20.0,1
30,8,5,20.0,1
18,9,17,19.81038475166459,1
6,11,82,15.465292098484031,1
28,17,13,20.0,1
27,9,84,20.0,1
18,18,42,20.0,1
10,18,36,17.055722881024714,1
26,16,88,20.0,1
6,14,62,15.461005897806377,1
26,12,84,20.0,1
10,14,51,17.198266758580576,1
25,8,65,20.0,1
25,16,9,20.0,1
24,8,86,20.0,1
29,14,23,20.0,1
11,12,58,17.940675797523788,1
14,10,80,19.459740696480782,1
18,11,85,20.0,1
9,8,50,14.968125608645526,1
13,10,70,18.525678694993985,1
17,16,19,20.0,1
17,18,77,20.0,1
20,10,22,20.0,1
6,14,93,14.99600317308212,1
21,12,38,20.0,1
22,9,95,20.0,1
23,9,51,20.0,1
28,11,79,20.0,1
8,12,34,15.791507039964078,1
12,13,41,17.354841316538334,1
18,14,79,20.0,1
30,16,82,20.0,1
6,9,73,14.642056194855867,1
8,18,8,15.16049702114491,1
29,12,60,20.0,1
6,9,43,13.136056692126989,1
12,17,24,17.769111026657647,1
6,8,87,14.90804521447162,1
21,10,41,20.0,1
12,9,17,16.51602720371663,1
11,13,0,17.06746603885256,1
9,14,77,17.314676891510185,1
16,8,74,20.0,1
11,9,69,16.783020815152256,1
7,10,67,14.543338740704064,1
6,8,49,14.068991168719826,1
29,11,32,20.0,1
25,13,77,20.0,1
26,10,65,20.0,1
23,9,32,20.0,1
15,18,85,20.0,1
9,11,30,15.983915033595606,1
13,11,1,17.406966980793865,1
11,13,15,17.3791324057814,1
22,14,98,20.0,1
19,18,94,20.0,1
29,18,8,20.0,1
22,11,56,20.0,1
5,15,82,14.757613094299852,1
5,13,19,12.85896048871927,1
18,13,5,20.0,1
10,12,56,17.590972120561666,1
16,8,14,19.12957970645927,1
10,14,11,16.79658310075003,1
21,11,72,20.0,1
10,18,21,17.648057836894537,1
8,18,89,17.676438274362614,1
26,15,55,20.0,1
13,16,82,20.0,1
20,18,28,20.0,1
18,15,96,20.0,1
26,9,60,20.0,1
21,11,59,20.0,1
24,16,70,20.0,1
